Date,lat,lon
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.186,-2.115
2018-01-02-05,49.194,-2.127
2018-01-02-05,49.198,-2.142
2018-01-02-05,49.183,-2.109
2018-01-02-05,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.204,-2.189
2018-01-02-06,49.204,-2.189
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.194,-2.198
2018-01-02-06,49.189,-2.193
2018-01-02-06,49.189,-2.193
2018-01-02-06,49.186,-2.115
2018-01-02-06,49.189,-2.193
2018-01-02-06,49.189,-2.193
2018-01-02-06,49.187,-2.186
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.184,-2.180
2018-01-02-06,49.183,-2.110
2018-01-02-06,49.198,-2.139
2018-01-02-06,49.183,-2.110
2018-01-02-06,49.199,-2.021
2018-01-02-06,49.188,-2.170
2018-01-02-06,49.187,-2.170
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.206,-2.194
2018-01-02-06,49.186,-2.039
2018-01-02-06,49.198,-2.146
2018-01-02-06,49.198,-2.146
2018-01-02-06,49.198,-2.135
2018-01-02-06,49.198,-2.135
2018-01-02-06,49.198,-2.135
2018-01-02-06,49.195,-2.131
2018-01-02-06,49.201,-2.196
2018-01-02-06,49.198,-2.197
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.198
2018-01-02-06,49.195,-2.159
2018-01-02-06,49.192,-2.124
2018-01-02-06,49.191,-2.199
2018-01-02-06,49.191,-2.199
2018-01-02-06,49.191,-2.199
2018-01-02-06,49.189,-2.197
2018-01-02-06,49.189,-2.193
2018-01-02-06,49.179,-2.103
2018-01-02-06,49.188,-2.188
2018-01-02-06,49.187,-2.186
2018-01-02-06,49.187,-2.186
2018-01-02-06,49.187,-2.186
2018-01-02-06,49.169,-2.084
2018-01-02-06,49.169,-2.084
2018-01-02-06,49.197,-2.027
2018-01-02-06,49.206,-2.194
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.171,-2.086
2018-01-02-06,49.195,-2.030
2018-01-02-06,49.195,-2.030
2018-01-02-06,49.195,-2.030
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.183,-2.109
2018-01-02-06,49.174,-2.089
2018-01-02-06,49.19,-2.038
2018-01-02-06,49.19,-2.038
2018-01-02-06,49.244,-2.226
2018-01-02-06,49.244,-2.226
2018-01-02-06,49.187,-2.170
2018-01-02-06,49.187,-2.170
2018-01-02-06,49.169,-2.081
2018-01-02-06,49.206,-2.194
2018-01-02-06,49.168,-2.080
2018-01-02-06,49.196,-2.157
2018-01-02-06,49.167,-2.079
2018-01-02-06,49.198,-2.146
2018-01-02-06,49.198,-2.146
2018-01-02-06,49.198,-2.146
2018-01-02-06,49.165,-2.031
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.195,-2.131
2018-01-02-06,49.201,-2.195
2018-01-02-06,49.166,-2.039
2018-01-02-06,49.198,-2.197
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.127
2018-01-02-06,49.194,-2.127
